wall_seconds,sim_seconds,rtf,gazebo_cpu_seconds,gazebo_rss_mib,threads
1.0031371790000776,0.0,0.0,1.35,509.80859375,8
2.003834475000076,0.49400000000000005,0.4936557758021571,1.81,522.44921875,11
3.004357460000051,1.454,0.9594981968355518,2.66,522.44921875,11
4.097958847000086,2.134,0.6217987724625829,3.51,587.11328125,39
5.10070048700004,2.134,0.0,3.66,591.84765625,39
6.1034854650000625,2.134,0.0,3.78,593.02734375,39
7.1974174620000895,2.136,0.0018282672099225329,4.55,728.78515625,57
8.24019956799998,2.138,0.00191794622145155,5.4,767.73828125,72
9.241336130000036,2.166,0.027968212392585116,6.13,815.859375,73
10.245182036000074,2.622,0.45425298571669703,7.39,816.1484375,73
11.249171598000089,3.352,0.7270991926905999,9.3,816.3984375,73
12.251604026999985,4.064,0.7102723130279679,11.28,821.9296875,76
13.25233078000008,4.796,0.7314684031435413,13.16,822.09375,76
14.253064814000027,5.582,0.7854234724668523,15.09,822.87890625,76
15.253360705000091,6.246,0.6638035864929469,17.02,823.29296875,76
16.25372504900008,6.936,0.6897486942017658,18.89,823.41796875,76
17.257236309000064,7.684,0.745382767304488,20.87,824.51171875,76
18.257294286000047,8.38,0.6959596503473642,22.96,824.76171875,76
19.258418051000035,9.076,0.6952187375154437,25.02,825.13671875,76
20.259982995000087,9.77,0.692915625848785,27.09,825.38671875,76
21.260043429999996,10.478,0.7079572146057996,29.16,825.63671875,76
22.26415779299998,11.21,0.7290006267941532,31.23,826.01171875,76
23.26439343300001,11.824,0.6138553511250426,33.12,826.01171875,76
24.265266213000018,12.38,0.5555151574808499,35.01,826.01171875,76
25.268004662000067,12.942,0.5604651946481531,36.91,826.01171875,76
26.27022457999999,13.586,0.6425735394335371,38.86,826.01171875,76
27.27207601400005,14.208,0.6208505362083088,40.72,826.01171875,76
28.276760971000044,14.81,0.599192807462333,42.52,826.26171875,76
29.278535737000084,15.406,0.5949441134155864,44.3,826.38671875,76
30.279520195000032,16.0,0.5934158070614421,46.11,826.63671875,76
31.28101510800002,16.636,0.6350506545209053,47.95,827.01171875,76
32.28223803000003,17.352,0.7151254573454455,49.92,827.13671875,76
33.28260043099999,17.938,0.5857877099481483,51.95,827.26171875,76
34.28549250100002,18.604,0.6640794357861265,53.99,827.76171875,76
35.287678403000086,19.378,0.772311802087145,56.07,828.01171875,76
36.29093635600009,20.04,0.6598502389345102,58.01,828.26171875,76
37.29339122800002,20.732,0.6903053886300513,59.93,828.51171875,76
38.294141241000034,21.422,0.6894828788775551,61.86,828.76171875,76
39.294353035000086,22.134,0.7118492346031694,63.81,828.88671875,76
40.295811066000056,22.864,0.7289371869843463,65.74,828.88671875,76
41.29775473799998,23.568,0.702634309366698,67.69,829.26171875,76
42.29980911000007,24.25,0.6806017907378964,69.66,829.88671875,76
43.303390095000054,24.934,0.6815593462046426,71.62,830.01171875,76
44.3041776,25.642,0.7074428851907328,73.58,830.13671875,76
45.30679206400009,26.358,0.7141329251758504,75.56,830.38671875,76
46.30826746900004,27.056,0.6969716844918767,77.51,830.76171875,76
47.309610346,27.758,0.701058564578004,79.46,831.26171875,76
48.31016855799999,28.474,0.7156005431895953,81.38,831.38671875,76
49.31213222100007,29.18,0.704616370903204,83.31,831.63671875,76
50.31323958900009,29.868,0.6872389735523198,85.24,831.88671875,76
51.314122527999984,30.536,0.6674107170489733,87.15,832.13671875,76
52.31571788400004,31.246,0.7088691014257859,89.09,832.51171875,76
53.31779256800007,31.962,0.7145176017638777,91.01,832.76171875,76
54.317920970000046,32.658,0.6959106436815503,92.96,832.88671875,76
55.319249679999984,33.32,0.6611215611704966,94.87,833.13671875,76
56.32148300000006,33.984,0.6625203799849252,96.81,833.38671875,76
57.32465249900008,34.654,0.6678831450396661,98.69,833.63671875,76
58.32768434700006,35.332,0.6759506204632619,100.53,833.63671875,76
59.329880813000045,35.976,0.642588576040745,102.39,833.88671875,76
60.331222464999996,36.618,0.64113981348699,104.27,834.13671875,76
61.33153464999998,37.298,0.67978778045177,106.12,834.38671875,76
62.33183604100009,37.978,0.6797951158701595,108.01,834.88671875,76
63.33718602400006,38.658,0.67638137116278,109.91,835.13671875,76
64.33809562500005,39.306,0.6474111142031127,111.76,835.38671875,76
65.33836883600009,39.964,0.6578202762644796,113.66,835.63671875,76
66.33845549900002,40.664,0.6999393411569266,115.57,835.63671875,76
67.33861100700005,41.348,0.6838936490663949,117.49,836.01171875,76
68.341741028,42.026,0.6758844674234309,119.39,836.26171875,76
69.34414470299998,42.69,0.6624077869626785,121.29,836.63671875,76
70.34701916699998,43.296,0.6042630675657535,123.22,836.88671875,76
71.35212854100007,43.868,0.5690922946261908,125.16,837.13671875,76
72.35459767999998,44.506,0.6364285693986369,127.06,837.38671875,76
73.356924262,45.15,0.6425051590620026,129.03,837.51171875,76
74.35816716700003,45.816,0.6651732528381675,130.92,837.76171875,76
75.36055049499998,46.52,0.7023261264776695,132.86,838.01171875,76
76.36317863300008,47.186,0.6642542481686629,134.79,838.51171875,76
77.36342221500001,47.848,0.6618387879843846,136.72,838.63671875,76
78.36425240300002,48.524,0.675439258432916,138.62,839.13671875,76
79.36558050300005,49.196,0.6711087005348011,140.55,839.26171875,76
80.36559807200001,49.896,0.6999877019160923,142.46,839.51171875,76
81.365718722,50.6,0.7039150726464962,144.39,839.63671875,76
82.368188454,51.25,0.6483986291568082,146.34,839.76171875,76
83.36949829600007,51.92,0.6691235538659128,148.24,840.26171875,76
84.370390456,52.626,0.7053706964794804,150.17,840.51171875,76
85.370675549,53.312,0.6858044819428278,152.1,840.63671875,76
86.37175936300002,53.958,0.6453006141601486,154.05,841.13671875,76
87.37721927500002,54.526,0.5649156104793658,155.98,841.38671875,76
88.37800022900001,55.194,0.6674787298160395,157.92,841.76171875,76
89.37933523100003,55.826,0.63115740360386,159.86,841.76171875,76
90.38011405100008,56.524,0.697456806689779,161.81,841.76171875,76
91.38048041100001,57.188,0.6637568260492566,163.8,841.76171875,76
92.38276274400005,57.866,0.6764561019155176,165.77,842.01171875,76
93.38382587199999,58.556,0.6892672207182103,167.75,842.38671875,76
94.38617688200009,59.256,0.6983581529986533,169.69,843.01171875,76
95.38697605499999,59.938,0.6814553992442868,171.62,843.01171875,76
96.38807387500003,60.608,0.669265267204325,173.51,843.26171875,76
97.38856265000004,61.28,0.6716717036630409,175.42,843.51171875,76
98.38955935800004,61.98,0.6993029991063607,177.34,843.88671875,76
99.390336144,62.696,0.7154442529205803,179.26,844.13671875,76
100.39298633300007,63.354,0.6562607848867208,181.2,844.51171875,76
101.39311805700004,64.028,0.6739112297172031,183.1,844.88671875,76
102.39359920900006,64.724,0.6956652792595376,185.01,844.88671875,76
103.39464629400004,65.38,0.6553138307175667,186.96,845.13671875,76
104.39743019000002,66.052,0.6701344154813021,188.91,845.26171875,76
105.39764404100004,66.706,0.6538601713484853,190.91,845.63671875,76
106.401294484,67.19,0.48223961178484664,193.02,845.76171875,76
107.40217544699999,67.68,0.48956870808223774,194.92,847.01171875,76
108.40343490500004,68.27,0.5892578544810709,196.99,847.38671875,76
109.40501384499998,68.9,0.629006835946495,199.1,847.51171875,76
110.40601651899999,69.556,0.6553429047083524,201.26,847.88671875,76
111.408323644,70.232,0.6744439734477506,203.22,848.01171875,76
112.40862599500008,70.822,0.5898216668291729,205.1,848.26171875,76
113.41090596200002,71.432,0.6086123838490712,206.96,848.63671875,76
114.41134215300008,72.086,0.653714855463436,208.95,848.88671875,76
115.41169051200006,72.764,0.6777638948473617,210.94,849.13671875,76
116.41370178900002,73.448,0.6826270479189733,212.92,849.38671875,76
117.41645393500005,74.138,0.6881062311882484,214.9,849.63671875,76
118.41698290500005,74.79,0.651655293899184,216.85,850.01171875,76
119.41825466700004,75.442,0.6511718643674232,218.86,850.38671875,76
120.41970466300006,76.12,0.6770183261351757,220.8,850.51171875,76
121.422160061,76.804,0.6823246214890846,222.74,851.01171875,76
122.42226623600004,77.452,0.6479312059041822,224.75,851.38671875,76
123.42478798700006,78.112,0.6583398308731409,226.72,851.63671875,76
124.42638453900008,78.81,0.6968873830548001,228.7,851.76171875,76
125.42821780500003,79.474,0.6627849389062266,230.68,852.26171875,76
126.42939419600009,80.162,0.6871915939935128,232.67,852.51171875,76
127.43154935900009,80.818,0.654589253460737,234.6,852.88671875,76
128.43279722300008,81.44,0.621224795941242,236.56,853.26171875,76
129.43313896799998,82.106,0.6657724755853941,238.46,853.76171875,76
130.43522997700006,82.794,0.6865643876862144,240.45,854.01171875,76
131.43534065900008,83.432,0.6379293926989541,242.43,854.38671875,76
132.43627059100004,84.08,0.6473979639166394,244.39,854.88671875,76
133.43797089200007,84.76,0.6788457578790204,246.39,855.13671875,76
134.440701817,85.432,0.6701698164939396,248.32,855.38671875,76
135.4421284990001,86.106,0.6730397862515952,250.29,855.51171875,76
136.44493290399998,86.746,0.638210200123791,252.25,855.63671875,76
137.445874312,87.372,0.6254112328620879,254.17,856.01171875,76
138.44732798100006,87.962,0.5891435802408248,256.12,856.26171875,76
139.44969489300001,88.62,0.6564462494947455,258.06,856.51171875,76
140.4524923150001,89.254,0.6322313820227942,260.07,856.88671875,76
141.45505843800004,89.902,0.646341408445962,262.01,857.38671875,76
142.456931682,90.59,0.6867136178356963,264.01,857.51171875,76
143.45930772000008,91.256,0.6644213097200394,266.03,857.88671875,76
144.4619774370001,91.936,0.6781894261597655,267.97,858.13671875,76
145.462521413,92.59,0.6536444331159108,269.92,858.51171875,76
146.46513984700005,93.232,0.6403233555547817,271.9,858.88671875,76
147.46655911000005,93.91,0.6770391034509146,273.83,859.13671875,76
148.46731086400007,94.578,0.6674982055539744,275.82,859.51171875,76
149.467758796,95.216,0.6377143473370048,277.75,860.01171875,76
150.469553765,95.864,0.6468389441472717,279.76,860.26171875,76
151.47169828699998,96.552,0.6865277261875965,281.74,860.38671875,76
152.47240220600008,97.22,0.6675301128704022,283.68,860.63671875,76
153.474384514,97.896,0.674662610909147,285.64,860.76171875,76
154.47573681200004,98.552,0.6551140905255974,287.64,861.13671875,76
155.47624831500002,99.206,0.653665648060027,289.59,861.63671875,76
156.47727067200003,99.89,0.6833014220080902,291.58,861.88671875,76
