wall_seconds,sim_seconds,rtf,gazebo_cpu_seconds,gazebo_rss_mib,threads
1.0044730529999981,0.0,0.0,1.05,463.078125,7
2.0093686789999765,0.0,0.0,1.29,509.41015625,7
3.009965914999981,0.8640000000000001,0.863484296092935,1.84,522.5234375,8
4.010721533999998,1.856,0.9912509919167217,2.49,522.5234375,8
5.080574420999994,2.124,0.2505017308982604,3.0,589.25390625,36
6.083257631999999,2.124,0.0,3.11,589.90625,36
7.0835218889999965,2.228,0.10397252453258492,3.5,602.5078125,48
8.084839475999985,3.208,0.9787104638161233,4.63,607.2890625,49
9.086758160999977,4.152,0.9421922299013786,5.88,607.81640625,49
10.087501928999984,5.14,0.9872657033623345,7.05,611.08984375,50
11.088500219999986,6.036,0.895106423313562,8.35,612.94140625,52
12.089576067999985,6.976,0.9389897897127182,9.78,613.19140625,52
13.091742891999985,7.9,0.9220021835406523,11.25,613.05078125,52
14.09238836199998,8.582,0.6815600734194138,12.28,613.8359375,52
15.092943270999996,9.58,0.9974465079557003,13.72,613.70703125,52
16.094413008999993,10.566,0.9845529650941918,15.15,613.70703125,52
17.094545545999978,11.476,0.909879407313007,16.63,613.70703125,52
18.095734115,12.428,0.9508698256022335,18.1,613.70703125,52
19.097425176,13.236,0.8066359294385256,19.52,613.70703125,52
20.098365616999985,14.02,0.7832633869970812,20.92,613.70703125,52
21.09889164499998,14.854,0.8335615232990251,22.35,613.70703125,52
22.101244082999983,15.606,0.7502351183985435,23.65,613.70703125,52
23.102812385999982,16.416,0.8087316637056167,24.94,613.70703125,52
24.104768234999995,17.118,0.7006296741524283,26.24,613.70703125,52
25.105131771999993,17.91,0.7917121833280124,27.55,613.70703125,52
26.10615316799999,18.778,0.8671143328888443,28.89,613.70703125,52
27.10739522199998,19.748,0.9687967021808834,30.23,613.83203125,52
28.107689908999987,20.71,0.9617165946218733,31.54,613.83203125,52
29.108426475999977,21.686,0.975281639728479,32.83,614.61328125,52
30.109332506999976,22.642,0.9551346184265324,34.14,614.61328125,52
31.110084067000003,23.542,0.8993241039763942,35.46,614.61328125,52
32.110383641,24.542,0.9997005157177083,36.75,614.61328125,52
33.110403617,25.542,0.9999800243990282,38.02,614.61328125,52
34.11094692399999,26.528,0.9854645901899078,39.3,614.61328125,52
35.11194129399999,27.476,0.947058273664416,40.61,614.61328125,52
36.11378502399998,28.464,0.9861817471273779,41.91,614.61328125,52
37.114545504999995,29.446,0.9812537751478104,43.2,614.61328125,52
38.115298935,30.44,0.9932516544060175,44.55,614.61328125,52
39.11774477199998,31.432,0.9895796494788727,45.86,614.61328125,52
40.119745357,32.36,0.9261471638761402,47.19,614.61328125,52
41.120927776,33.344,0.98283787382407,48.47,614.61328125,52
42.122854193999984,34.34,0.9940849768071689,49.78,614.61328125,52
43.125253689999994,35.328,0.9856349728252358,51.08,614.61328125,52
44.12607134199999,36.264,0.9352353029840491,52.41,614.61328125,52
45.127990627,37.26,0.9940920540320585,53.69,614.61328125,52
46.128453479,38.24,0.9795466148902104,54.98,614.61328125,52
47.12901258399998,39.234,0.9934445601792012,56.28,614.61328125,52
48.130970778999995,40.212,0.9760886281288287,57.59,614.61328125,52
49.13168596999998,41.146,0.9333324890038698,58.92,614.61328125,52
50.132042410999986,42.14,0.993645823888879,60.22,614.61328125,52
51.133430945999976,43.134,0.992621710013896,61.52,614.61328125,52
52.13427159899999,44.114,0.9791768520417861,62.81,614.61328125,52
53.134937157999985,45.012,0.8974027255393978,64.15,614.61328125,52
54.135631292,46.01,0.997307734792801,65.44,614.61328125,52
55.136531179,46.984,0.9731242980947614,66.72,614.61328125,52
56.13787312599999,47.984,0.998659851408396,68.02,614.61328125,52
57.140928589,48.932,0.945112244506056,69.33,614.61328125,52
58.141571462,49.898,0.9653793836594861,70.64,614.61328125,52
59.143228687999994,50.882,0.9823719876004795,71.93,614.61328125,52
60.14376045899999,51.866,0.9834770154440234,73.21,614.61328125,52
61.143764438999995,52.864,0.9979960279758038,74.5,614.61328125,52
62.144292612999976,53.774,0.9095196153866831,75.82,614.61328125,52
63.14566604299998,54.736,0.9606805724813322,77.12,614.61328125,52
64.14718231699999,55.73,0.9924951054764279,78.41,614.61328125,52
65.1473949,56.704,0.973792988165194,79.71,614.61328125,52
66.14847791,57.64,0.9349873992966856,81.01,614.61328125,52
67.14857945199998,58.62,0.9799004989435511,82.32,614.61328125,52
68.14859835599998,59.592,0.971981625659349,83.62,614.61328125,52
69.149374873,60.592,0.9992240855107717,84.91,614.61328125,52
70.149636166,61.588,0.9957398201551803,86.2,614.61328125,52
71.15154217899999,62.49,0.9002840469029153,87.52,614.61328125,52
72.15250852,63.47,0.9790539000751358,88.82,614.61328125,52
73.153486276,64.466,0.9950271062766729,90.11,614.61328125,52
74.15501343899999,65.352,0.8846489967841416,91.44,614.61328125,52
75.15763177899998,66.156,0.8019003522317413,92.78,614.61328125,52
76.159006925,67.052,0.894769561216958,94.11,614.61328125,52
77.160333211,68.036,0.9826966631733869,95.42,614.76171875,52
78.161830044,69.024,0.9865233393104451,96.76,614.76171875,52
79.16304308099998,69.904,0.8789338207548815,98.08,614.609375,52
80.163512986,70.786,0.881585738453562,99.42,614.609375,52
81.16358163499999,71.784,0.9979314930009565,100.7,614.609375,52
82.16407831999999,72.78,0.9955055473272192,101.98,614.48046875,52
83.16519064299999,73.764,0.9829066902815397,103.26,614.48046875,52
84.16750948799998,74.69,0.9238577171518815,104.59,614.48046875,52
85.169145061,75.68,0.988383426753548,105.93,614.48046875,52
86.178126892,76.628,0.9395610216889956,107.39,614.48046875,52
87.17893412299998,77.582,0.9532305227718831,108.84,614.48046875,52
88.18059169399999,78.548,0.9644014361470831,110.31,614.48046875,52
89.182088811,79.378,0.8287592504372501,111.67,614.48046875,52
90.18287311499998,80.31,0.9312696015264667,113.0,614.48046875,52
91.18442062199998,81.27,0.9585166887145931,114.3,614.48046875,52
92.18507440299999,82.242,0.9713649400581215,115.6,614.48046875,52
93.18520550099998,83.148,0.9058812407810904,116.9,614.48046875,52
94.185373486,84.126,0.9778357382634981,118.2,614.48046875,52
95.188723146,85.028,0.8989886935328238,119.52,614.48046875,52
96.190972249,85.892,0.8620611357134762,120.83,614.48046875,52
97.19217783599998,86.87,0.9768223556667202,122.14,614.48046875,52
98.193652114,87.772,0.9006721588509786,123.45,614.48046875,52
99.19389859099999,88.766,0.9937550622335353,124.75,614.48046875,52
100.19415267499997,89.752,0.9857495368147009,126.05,614.48046875,52
101.19433149599999,90.714,0.9618280049543102,127.36,614.48046875,52
102.195889924,91.616,0.9005964852207227,128.7,614.48046875,52
103.19646635899997,92.61,0.9934273537033967,130.0,614.48046875,52
104.19686849999997,93.584,0.9736084721154237,131.3,614.48046875,52
