time_s,truth_x,truth_y,truth_z,estimate_x,estimate_y,estimate_z,position_error_m,rotation_error_deg,sim_latency_s
19.2,-0.00020340506935473483,4.476179426861254e-18,0.14999986489856607,-0.00020340506935473575,4.336808689942018e-18,0.14999986489856607,9.320508949507606e-19,3.0028829463004157e-18,0.03400000000000247
19.3,-0.00020340506935473483,4.476179426861254e-18,0.14999986489856607,0.005481734074458704,-0.00015902309453326045,0.15065623641263495,0.005725113011425698,0.013082575685884695,0.03399999999999892
19.4,-0.00020340506935473483,4.476179426861254e-18,0.14999986489856607,0.0029332078805773543,-0.0004720940593991303,0.1501951733986332,0.0031779488681852814,0.015892587310882573,0.03400000000000247
19.5,-0.00020340506935473483,4.476179426861254e-18,0.14999986489856607,0.0028983154446000432,-0.0007209371219779534,0.1502623323111953,0.003195201030174163,0.019166167300425734,0.03399999999999892
19.6,-0.00020340506935473483,4.476179426861254e-18,0.14999986489856607,0.0029281019518777878,-0.0031696368171784247,0.149882199383431,0.004457216502515173,0.016189202019847235,0.03599999999999781
19.7,-0.00020340506935473483,4.476179426861254e-18,0.14999986489856607,0.0016879565545864553,-0.0011487283424680972,0.14948648626071587,0.0022716476890371653,0.011841124199399637,0.0519999999999996
19.8,-0.00020340506935473483,4.476179426861254e-18,0.14999986489856607,0.0035928403185424545,-0.00018266602402679548,0.15016889608226344,0.0038043944935464537,0.025015277396972464,0.03599999999999781
19.9,-0.00020340506935473483,4.476179426861254e-18,0.14999986489856607,0.0028278899254164168,-0.003200034571446934,0.1502112790518993,0.004412897749552989,0.027634753001718193,0.010000000000001563
20.3,-0.00021405780632611235,2.2395315691695944e-09,0.14999995275566924,0.0007044832334129258,-0.004603860498382721,0.1499384437586118,0.004695002993391969,0.015116278573170749,0.05600000000000094
20.4,-0.0002193390663103395,2.1394507357759527e-09,0.14999995537738867,0.004414704251954116,-0.002415330217316369,0.1504375304042333,0.005244011801408886,0.01840610972183789,0.04400000000000048
20.5,-0.00022264461860747276,2.076810636965232e-09,0.1499999570187738,0.0025370517098588542,-0.004456786714294182,0.1501845533112315,0.005245280349519672,0.019061621685382838,0.04400000000000048
20.6,-0.0002246741618173621,2.0383512979514555e-09,0.14999995802682084,0.003560010578431168,-0.0032522815542296458,0.1501156411191564,0.004991449661921235,0.008241189554513527,0.053999999999998494
20.7,-0.0002264825294473948,2.0040835679765904e-09,0.14999995892531362,0.005399987673760826,-0.0015304819489034463,0.15049707051603045,0.0058520652774525445,0.011128134050982157,0.05600000000000094
