time_s,truth_x,truth_y,truth_z,estimate_x,estimate_y,estimate_z,position_error_m,rotation_error_deg,sim_latency_s
5.8,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,-0.00020333311103947578,1.2438521913848977e-10,0.14999985140603667,2.574670225417307e-19,7.568621831123184e-18,0.05400000000000027
5.9,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.0042045286917158885,0.002333883429419317,0.14956925977565236,0.005006162812560502,0.02959732330278536,0.05399999999999938
6.0,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.0028173061165010834,0.003902891409789542,0.14956014586068647,0.004954812074665753,0.058578022895203134,0.05400000000000027
6.1,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.0023475455667925894,0.006918296086199165,0.14995518884332112,0.007373723332806685,0.07877721631232941,0.05400000000000027
6.2,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.003567386539962579,0.008812927822930174,0.15044290450387846,0.00959595317588311,0.0414448704101338,0.05399999999999938
6.3,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.0008175866582651849,0.003636103362344517,0.1508544533001825,0.003872191670092378,0.024922671749844454,0.05400000000000027
6.4,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.0023082765832823067,0.004259657498880249,0.14933957218380833,0.004988870899913877,0.044507680594631435,0.05399999999999938
6.5,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.0004066432861070872,0.0017450982730245809,0.14984550174014963,0.0018550640346952634,0.05847675670471743,0.0519999999999996
6.6,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.0027398984968503713,0.0059853393679588415,0.15083192541757895,0.006721550812054342,0.03607313886634092,0.05400000000000027
6.7,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.0016946737871991258,0.002035907175005015,0.14978557460863948,0.0027916414974755457,0.02583350397233123,0.0519999999999996
6.8,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.004822146804133489,0.001953813127908887,0.15091654593099552,0.005469292685771586,0.04503625098845698,0.05400000000000027
6.9,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.0019975955335639777,0.0012893292254737747,0.14992874508293838,0.0025517665525542055,0.04061930810244156,0.0519999999999996
7.0,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.001175296311167758,0.0023966597121485196,0.15034282986428976,0.0027860779756171353,0.02878614845242607,0.05400000000000027
7.1,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.0013485427626979411,-0.0010863487901485794,0.14973889214588218,0.0019122166266031186,0.039537953217900414,0.05400000000000027
7.2,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.004897892206925998,0.0005331977936464619,0.15076078646470636,0.005185153967113246,0.041945364798541857,0.05399999999999938
7.3,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.0040235585312547095,0.0011234606607393779,0.15042651155298864,0.00439440728806954,0.04398733868482437,0.05400000000000027
7.4,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.003695295117811821,0.007027998564079532,0.15054341167251215,0.008055279132248168,0.03878807789090456,0.05399999999999938
7.5,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.0051274746964163065,0.0025920162409743723,0.15070205780983895,0.005969016105040291,0.04372316417961408,0.05400000000000027
7.6,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.0003368758286840701,0.0018075412814445597,0.1502158612992837,0.0018988657158949514,0.040178561030699514,0.05400000000000027
7.7,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.003489122653046677,0.0032326923601440584,0.1502713139967757,0.004915101280649188,0.026837872445332422,0.3359999999999994
7.8,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.005124297995948447,0.0022603904389796904,0.15019642874458727,0.0057906528333590765,0.04711346100617494,0.2519999999999998
7.9,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.0005252809261333266,0.006450793216424113,0.15029176916825832,0.006498371019829697,0.04430413280101082,0.16600000000000037
8.0,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.0002824611336508143,0.0033843882839211716,0.15165323580839904,0.0037978624572983866,0.03618280866760829,0.0779999999999994
8.1,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.00274687657380569,0.0006101610480200807,0.1497033287557903,0.0030272032008760654,0.045760289008551815,0.05600000000000094
8.2,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.001554765104451244,0.006380682077408079,0.15032742579327163,0.0066265614386433955,0.0582459799043617,0.05400000000000027
8.3,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.0033869681868526165,0.004818251958228008,0.14989884342230114,0.006009660286301827,0.04497592391792616,0.053999999999998494
8.4,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.0028319193378367738,0.004574552354976927,0.1509493970755271,0.00557143810135847,0.03331081813080156,0.05599999999999916
8.5,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.0021565046051890734,-0.0003239792729741852,0.14962664222470612,0.0024110333448290494,0.029323758227037245,0.0519999999999996
8.6,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.0008390184658892811,0.002866782043641755,0.1501125684620302,0.003052481042891815,0.04067650979601261,0.05400000000000027
8.7,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.001265268967296557,-2.866887459219286e-05,0.14985356062331134,0.001476148694781684,0.04957419658058763,0.05400000000000027
8.8,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.0015871083841885135,0.0023348422438500037,0.14996665791431002,0.002942493887598418,0.052044331309891154,0.053999999999998494
8.9,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.005002471497796613,0.001471742093297198,0.15029157724921763,0.005417705235246342,0.03592113056218331,0.0519999999999996
9.0,-0.00020333311103947578,1.243852193959568e-10,0.14999985140603667,0.001767506609650634,0.004030690316418293,0.1507732949289004,0.004552898803165007,0.04054487151893074,0.05400000000000027
9.1,-0.0002069124533886886,2.561645214383055e-10,0.14999996016197087,0.001913659162742164,0.007002226407363959,0.1524741683371279,0.007723321898360511,0.03263968051953345,0.0519999999999996
